Timestamp_Hours,Asset_Tank0_RawProduct_Level_Tons,Asset_Tank1_CrudeIso_Level_Tons,Asset_Tank2_Monomer_Em_Level_Tons,Asset_Tank3_Monomer_Ert_Level_Tons,Asset_Tank4_Hydro_Buffer_Level_Tons,Asset_Tank5_Ert_Buffer_Level_Tons,Asset_Tank7_Em_Return_Level_Tons,Asset_Tank6_Purified_Level_Tons,Process_Reactor_Status,Process_Reactor_CumProduced_Tons,Process_Monomer_Dist_Status,Process_Monomer_Dist_CumProduced_Tons,Process_Hydrogenation_Status,Process_Hydrogenation_CumProduced_Tons,Process_Cold_Fractionation_Status,Process_Cold_Fractionation_CumProduced_Tons,Process_Final_Frac_Dist_Status,Process_Final_Frac_Dist_CumProduced_Tons,Logistics_Outbound_Link_ActiveTrucks,Logistics_Inbound_Return_Link_ActiveTrucks
10.0,4375.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,Running,4.5,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
11.0,4374.5,4.95,0.0,0.0,0.0,0.0,0.0,0.0,Running,4.95,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
12.0,4374.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,Running,5.4,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
13.0,4373.5,5.85,0.0,0.0,0.0,0.0,0.0,0.0,Running,5.85,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
14.0,4373.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,Running,6.3,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
15.0,4372.5,6.75,0.0,0.0,0.0,0.0,0.0,0.0,Running,6.75,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
16.0,4372.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,Running,7.2,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
17.0,4371.5,7.65,0.0,0.0,0.0,0.0,0.0,0.0,Running,7.65,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
18.0,4371.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,Running,8.1,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
19.0,4370.5,8.55,0.0,0.0,0.0,0.0,0.0,0.0,Running,8.55,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
20.0,4370.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,Running,9.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
21.0,4369.5,9.45,0.0,0.0,0.0,0.0,0.0,0.0,Running,9.45,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
22.0,4369.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,Running,9.9,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
23.0,4368.5,10.35,0.0,0.0,0.0,0.0,0.0,0.0,Running,10.35,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
24.0,4368.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,Running,10.8,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
25.0,4367.5,11.25,0.0,0.0,0.0,0.0,0.0,0.0,Running,11.25,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
26.0,4367.0,11.7,0.0,0.0,0.0,0.0,0.0,0.0,Running,11.7,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
27.0,4366.5,12.15,0.0,0.0,0.0,0.0,0.0,0.0,Running,12.15,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
28.0,4366.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0,Running,12.6,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
29.0,4365.5,13.05,0.0,0.0,0.0,0.0,0.0,0.0,Running,13.05,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
30.0,4365.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,Running,13.5,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
31.0,4364.5,13.95,0.0,0.0,0.0,0.0,0.0,0.0,Running,13.95,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
32.0,4364.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,Running,14.4,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
33.0,4363.5,14.85,0.0,0.0,0.0,0.0,0.0,0.0,Running,14.85,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
34.0,4363.0,15.3,0.0,0.0,0.0,0.0,0.0,0.0,Running,15.3,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
35.0,4362.5,15.75,0.0,0.0,0.0,0.0,0.0,0.0,Running,15.75,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
36.0,4362.0,16.2,0.0,0.0,0.0,0.0,0.0,0.0,Running,16.2,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
37.0,4361.5,16.65,0.0,0.0,0.0,0.0,0.0,0.0,Running,16.65,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
38.0,4361.0,17.1,0.0,0.0,0.0,0.0,0.0,0.0,Running,17.1,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
39.0,4360.5,17.55,0.0,0.0,0.0,0.0,0.0,0.0,Running,17.55,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
40.0,4360.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,Running,18.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
41.0,4359.5,18.45,0.0,0.0,0.0,0.0,0.0,0.0,Running,18.45,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
42.0,4359.0,18.9,0.0,0.0,0.0,0.0,0.0,0.0,Running,18.9,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
43.0,4358.5,19.35,0.0,0.0,0.0,0.0,0.0,0.0,Running,19.35,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
44.0,4358.0,19.8,0.0,0.0,0.0,0.0,0.0,0.0,Running,19.8,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
45.0,4357.5,20.25,0.0,0.0,0.0,0.0,0.0,0.0,Running,20.25,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
46.0,4357.0,20.7,0.0,0.0,0.0,0.0,0.0,0.0,Running,20.7,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
47.0,4356.5,21.15,0.0,0.0,0.0,0.0,0.0,0.0,Running,21.15,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
48.0,4356.0,21.6,0.0,0.0,0.0,0.0,0.0,0.0,Running,21.6,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
49.0,4355.5,22.05,0.0,0.0,0.0,0.0,0.0,0.0,Running,22.05,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
50.0,4355.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,Running,22.5,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
51.0,4354.5,22.95,0.0,0.0,0.0,0.0,0.0,0.0,Running,22.95,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
52.0,4354.0,23.4,0.0,0.0,0.0,0.0,0.0,0.0,Running,23.4,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
53.0,4353.5,23.85,0.0,0.0,0.0,0.0,0.0,0.0,Running,23.85,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
54.0,4353.0,24.3,0.0,0.0,0.0,0.0,0.0,0.0,Running,24.3,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
55.0,4352.5,24.75,0.0,0.0,0.0,0.0,0.0,0.0,Running,24.75,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
56.0,4352.0,25.2,0.0,0.0,0.0,0.0,0.0,0.0,Running,25.2,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
57.0,4351.5,25.65,0.0,0.0,0.0,0.0,0.0,0.0,Running,25.65,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
58.0,4351.0,26.1,0.0,0.0,0.0,0.0,0.0,0.0,Running,26.1,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
59.0,4350.5,26.55,0.0,0.0,0.0,0.0,0.0,0.0,Running,26.55,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
60.0,4350.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,Running,27.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
61.0,4349.5,27.45,0.0,0.0,0.0,0.0,0.0,0.0,Running,27.45,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
62.0,4349.0,27.9,0.0,0.0,0.0,0.0,0.0,0.0,Running,27.9,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
63.0,4348.5,28.35,0.0,0.0,0.0,0.0,0.0,0.0,Running,28.35,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
64.0,4348.0,28.8,0.0,0.0,0.0,0.0,0.0,0.0,Running,28.8,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
65.0,4347.5,29.25,0.0,0.0,0.0,0.0,0.0,0.0,Running,29.25,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
66.0,4347.0,29.7,0.0,0.0,0.0,0.0,0.0,0.0,Running,29.7,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
67.0,4346.5,30.15,0.0,0.0,0.0,0.0,0.0,0.0,Running,30.15,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
68.0,4346.0,30.6,0.0,0.0,0.0,0.0,0.0,0.0,Running,30.6,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
69.0,4345.5,31.05,0.0,0.0,0.0,0.0,0.0,0.0,Running,31.05,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
70.0,4345.0,31.5,0.0,0.0,0.0,0.0,0.0,0.0,Running,31.5,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
71.0,4344.5,31.95,0.0,0.0,0.0,0.0,0.0,0.0,Running,31.95,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
72.0,4344.0,32.4,0.0,0.0,0.0,0.0,0.0,0.0,Running,32.4,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
73.0,4343.5,32.85,0.0,0.0,0.0,0.0,0.0,0.0,Running,32.85,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
74.0,4343.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,Running,33.3,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
75.0,4342.5,33.75,0.0,0.0,0.0,0.0,0.0,0.0,Running,33.75,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
76.0,4342.0,34.2,0.0,0.0,0.0,0.0,0.0,0.0,Running,34.2,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
77.0,4341.5,34.65,0.0,0.0,0.0,0.0,0.0,0.0,Running,34.65,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
78.0,4341.0,35.1,0.0,0.0,0.0,0.0,0.0,0.0,Running,35.1,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
79.0,4340.5,35.55,0.0,0.0,0.0,0.0,0.0,0.0,Running,35.55,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
80.0,4340.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,Running,36.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
81.0,4339.5,36.45,0.0,0.0,0.0,0.0,0.0,0.0,Running,36.45,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
82.0,4339.0,36.9,0.0,0.0,0.0,0.0,0.0,0.0,Running,36.9,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
83.0,4338.5,37.35,0.0,0.0,0.0,0.0,0.0,0.0,Running,37.35,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
84.0,4338.0,37.8,0.0,0.0,0.0,0.0,0.0,0.0,Running,37.8,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
85.0,4337.5,38.25,0.0,0.0,0.0,0.0,0.0,0.0,Running,38.25,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
86.0,4337.0,38.7,0.0,0.0,0.0,0.0,0.0,0.0,Running,38.7,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
87.0,4336.5,39.15,0.0,0.0,0.0,0.0,0.0,0.0,Running,39.15,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
88.0,4336.0,39.6,0.0,0.0,0.0,0.0,0.0,0.0,Running,39.6,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
89.0,4335.5,40.05,0.0,0.0,0.0,0.0,0.0,0.0,Running,40.05,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
90.0,4335.0,40.5,0.0,0.0,0.0,0.0,0.0,0.0,Running,40.5,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
91.0,4334.5,40.95,0.0,0.0,0.0,0.0,0.0,0.0,Running,40.95,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
92.0,4334.0,41.4,0.0,0.0,0.0,0.0,0.0,0.0,Running,41.4,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
93.0,4333.5,41.85,0.0,0.0,0.0,0.0,0.0,0.0,Running,41.85,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
94.0,4333.0,42.3,0.0,0.0,0.0,0.0,0.0,0.0,Running,42.3,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
95.0,4332.5,42.75,0.0,0.0,0.0,0.0,0.0,0.0,Running,42.75,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
96.0,4332.0,43.2,0.0,0.0,0.0,0.0,0.0,0.0,Running,43.2,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
97.0,4331.5,43.65,0.0,0.0,0.0,0.0,0.0,0.0,Running,43.65,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
98.0,4331.0,44.1,0.0,0.0,0.0,0.0,0.0,0.0,Running,44.1,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
99.0,4330.5,44.55,0.0,0.0,0.0,0.0,0.0,0.0,Running,44.55,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
100.0,4330.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,Running,45.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
101.0,4329.5,45.45,0.0,0.0,0.0,0.0,0.0,0.0,Running,45.45,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
102.0,4329.0,45.9,0.0,0.0,0.0,0.0,0.0,0.0,Running,45.9,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
103.0,4328.5,46.35,0.0,0.0,0.0,0.0,0.0,0.0,Running,46.35,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
104.0,4328.0,46.8,0.0,0.0,0.0,0.0,0.0,0.0,Running,46.8,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
105.0,4327.5,47.25,0.0,0.0,0.0,0.0,0.0,0.0,Running,47.25,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
106.0,4327.0,47.7,0.0,0.0,0.0,0.0,0.0,0.0,Running,47.7,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
107.0,4326.5,48.15,0.0,0.0,0.0,0.0,0.0,0.0,Running,48.15,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
108.0,4326.0,48.6,0.0,0.0,0.0,0.0,0.0,0.0,Running,48.6,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
109.0,4325.5,49.05,0.0,0.0,0.0,0.0,0.0,0.0,Running,49.05,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
110.0,4325.0,49.5,0.0,0.0,0.0,0.0,0.0,0.0,Running,49.5,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
111.0,4324.5,49.95,0.0,0.0,0.0,0.0,0.0,0.0,Running,49.95,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
112.0,4324.0,50.4,0.0,0.0,0.0,0.0,0.0,0.0,Running,50.4,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
113.0,4323.5,50.85,0.0,0.0,0.0,0.0,0.0,0.0,Running,50.85,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
114.0,4323.0,51.3,0.0,0.0,0.0,0.0,0.0,0.0,Running,51.3,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
115.0,4322.5,51.75,0.0,0.0,0.0,0.0,0.0,0.0,Running,51.75,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
116.0,4322.0,52.2,0.0,0.0,0.0,0.0,0.0,0.0,Running,52.2,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
117.0,4321.5,52.65,0.0,0.0,0.0,0.0,0.0,0.0,Running,52.65,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
118.0,4321.0,53.1,0.0,0.0,0.0,0.0,0.0,0.0,Running,53.1,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
119.0,4320.5,53.55,0.0,0.0,0.0,0.0,0.0,0.0,Running,53.55,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
120.0,4320.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,Running,54.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
121.0,4319.5,54.45,0.0,0.0,0.0,0.0,0.0,0.0,Running,54.45,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
122.0,4319.0,54.9,0.0,0.0,0.0,0.0,0.0,0.0,Running,54.9,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
123.0,4318.5,55.35,0.0,0.0,0.0,0.0,0.0,0.0,Running,55.35,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
124.0,4318.0,55.8,0.0,0.0,0.0,0.0,0.0,0.0,Running,55.8,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
125.0,4317.5,56.25,0.0,0.0,0.0,0.0,0.0,0.0,Running,56.25,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
126.0,4317.0,56.7,0.0,0.0,0.0,0.0,0.0,0.0,Running,56.7,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
127.0,4316.5,57.15,0.0,0.0,0.0,0.0,0.0,0.0,Running,57.15,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
128.0,4316.0,57.6,0.0,0.0,0.0,0.0,0.0,0.0,Running,57.6,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
129.0,4315.5,58.05,0.0,0.0,0.0,0.0,0.0,0.0,Running,58.05,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
130.0,4315.0,58.5,0.0,0.0,0.0,0.0,0.0,0.0,Running,58.5,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
131.0,4314.5,58.95,0.0,0.0,0.0,0.0,0.0,0.0,Running,58.95,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
132.0,4314.0,59.4,0.0,0.0,0.0,0.0,0.0,0.0,Running,59.4,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
133.0,4313.5,59.85,0.0,0.0,0.0,0.0,0.0,0.0,Running,59.85,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
134.0,4313.0,60.3,0.0,0.0,0.0,0.0,0.0,0.0,Running,60.3,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
135.0,4312.5,60.75,0.0,0.0,0.0,0.0,0.0,0.0,Running,60.75,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
136.0,4312.0,61.2,0.0,0.0,0.0,0.0,0.0,0.0,Running,61.2,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
137.0,4311.5,61.65,0.0,0.0,0.0,0.0,0.0,0.0,Running,61.65,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
138.0,4311.0,62.1,0.0,0.0,0.0,0.0,0.0,0.0,Running,62.1,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
139.0,4310.5,62.55,0.0,0.0,0.0,0.0,0.0,0.0,Running,62.55,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
140.0,4310.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,Running,63.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
141.0,4309.5,63.45,0.0,0.0,0.0,0.0,0.0,0.0,Running,63.45,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
142.0,4309.0,63.9,0.0,0.0,0.0,0.0,0.0,0.0,Running,63.9,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
143.0,4308.5,64.35,0.0,0.0,0.0,0.0,0.0,0.0,Running,64.35,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
144.0,4308.0,64.8,0.0,0.0,0.0,0.0,0.0,0.0,Running,64.8,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
145.0,4307.5,65.25,0.0,0.0,0.0,0.0,0.0,0.0,Running,65.25,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
146.0,4307.0,65.7,0.0,0.0,0.0,0.0,0.0,0.0,Running,65.7,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
147.0,4306.5,66.15,0.0,0.0,0.0,0.0,0.0,0.0,Running,66.15,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
148.0,4306.0,66.6,0.0,0.0,0.0,0.0,0.0,0.0,Running,66.6,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
149.0,4305.5,67.05,0.0,0.0,0.0,0.0,0.0,0.0,Running,67.05,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
150.0,4305.0,67.5,0.0,0.0,0.0,0.0,0.0,0.0,Running,67.5,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
151.0,4304.5,67.95,0.0,0.0,0.0,0.0,0.0,0.0,Running,67.95,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
152.0,4304.0,68.4,0.0,0.0,0.0,0.0,0.0,0.0,Running,68.4,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
153.0,4303.5,68.85,0.0,0.0,0.0,0.0,0.0,0.0,Running,68.85,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
154.0,4303.0,69.3,0.0,0.0,0.0,0.0,0.0,0.0,Running,69.3,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
155.0,4302.5,69.75,0.0,0.0,0.0,0.0,0.0,0.0,Running,69.75,Suspended,0.0,Suspended,0.0,Suspended,0.0,Suspended,0.0,0,0
